medicine,toxicity_level,disposal,compost_safe,warnings
Rivaroxaban 100mg,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Rivaroxaban Capsule,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban 250mg,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Rivaroxaban Tab,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Rivaroxaban Tab,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Rivaroxaban Cap,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban 250mg,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Capsule,Low,Return to pharmacy,No,Harmful to aquatic life.
Rivaroxaban 100mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Rivaroxaban Tab,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Capsule,Low,Safe landfill,No,Can enter waterways through improper disposal.
Rivaroxaban XL,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Tab,Medium,Safe landfill,Yes,Harmful to aquatic life.
Rivaroxaban SR,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Rivaroxaban XL,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban SR,High,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Cap,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban 250mg,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Rivaroxaban 100mg,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban 100mg,High,Eco-bin drop-off,No,Harmful to aquatic life.
Rivaroxaban SR,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Oral,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Rivaroxaban Tab,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Rivaroxaban SR,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Rivaroxaban Oral,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Rivaroxaban Tab,High,Return to pharmacy,No,Toxic if released into groundwater.
Rivaroxaban Tab,High,Do not flush. Incinerate,No,Harmful to aquatic life.
Rivaroxaban XL,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Rivaroxaban Tablet,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Capsule,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Rivaroxaban Cap,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Cap,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Rivaroxaban Capsule,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Rivaroxaban XL,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Rivaroxaban Tab,High,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Capsule,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban Tab,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Rivaroxaban SR,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Rivaroxaban 500mg,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Cap,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Capsule,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Rivaroxaban Cap,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Rivaroxaban Tablet,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Tablet,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Capsule,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban 250mg,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Rivaroxaban Tab,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Rivaroxaban 100mg,High,Return to pharmacy,No,Harmful to aquatic life.
Rivaroxaban 250mg,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Rivaroxaban SR,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Rivaroxaban Oral,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Rivaroxaban Capsule,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban Oral,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Oral,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Rivaroxaban Tab,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Rivaroxaban XL,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Rivaroxaban SR,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Rivaroxaban 250mg,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Cap,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 500mg,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,Medium,Safe landfill,Yes,Harmful to aquatic life.
Rivaroxaban XL,High,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Rivaroxaban 100mg,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Rivaroxaban Cap,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 100mg,High,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Tab,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Cap,High,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Rivaroxaban Capsule,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban SR,Medium,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Capsule,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban XL,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban Cap,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban Capsule,Low,Safe landfill,No,Disrupts soil microbes if composted.
Rivaroxaban Tablet,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Rivaroxaban 500mg,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Rivaroxaban 250mg,Medium,Safe landfill,No,Toxic if released into groundwater.
Rivaroxaban Oral,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban Tablet,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Cap,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Rivaroxaban 250mg,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Oral,High,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban Capsule,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Tab,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Rivaroxaban 100mg,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Rivaroxaban 100mg,High,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Capsule,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Rivaroxaban Tablet,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Rivaroxaban XL,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Rivaroxaban 500mg,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Rivaroxaban 250mg,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Rivaroxaban 100mg,High,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Rivaroxaban 250mg,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Rivaroxaban Cap,High,Safe landfill,No,Toxic if released into groundwater.
Rivaroxaban Tablet,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Rivaroxaban Tab,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban 500mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Oral,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Rivaroxaban Tablet,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Rivaroxaban SR,High,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Tablet,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban XL,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 250mg,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Rivaroxaban Tablet,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban Capsule,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Tab,High,Return to pharmacy,Yes,Toxic if released into groundwater.
Rivaroxaban Tablet,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Rivaroxaban XL,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Rivaroxaban SR,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Rivaroxaban Tab,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Rivaroxaban Tablet,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Oral,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Rivaroxaban 100mg,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Capsule,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban SR,Low,Safe landfill,No,Harmful to aquatic life.
Rivaroxaban 500mg,High,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Rivaroxaban Capsule,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Tab,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban SR,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 500mg,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Tab,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Cap,Low,Return to pharmacy,No,Harmful to aquatic life.
Rivaroxaban Tablet,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Rivaroxaban Tablet,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Rivaroxaban SR,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Rivaroxaban 250mg,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Tablet,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Rivaroxaban 250mg,High,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Tab,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban XL,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Rivaroxaban XL,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Rivaroxaban Oral,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Rivaroxaban Tablet,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Cap,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Rivaroxaban Tablet,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban 500mg,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Rivaroxaban 500mg,High,Safe landfill,No,Harmful to aquatic life.
Rivaroxaban XL,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Rivaroxaban 250mg,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Rivaroxaban XL,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Rivaroxaban Tablet,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Rivaroxaban Capsule,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,High,Return to pharmacy,No,Harmful to aquatic life.
Rivaroxaban XL,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Rivaroxaban Cap,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Rivaroxaban 100mg,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Rivaroxaban Tab,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 250mg,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Rivaroxaban Tab,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Rivaroxaban 250mg,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Tab,High,Safe landfill,Yes,Harmful to aquatic life.
Rivaroxaban SR,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Rivaroxaban Tab,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Rivaroxaban Cap,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Rivaroxaban XL,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban XL,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Rivaroxaban XL,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Rivaroxaban 250mg,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Rivaroxaban Capsule,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Rivaroxaban SR,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Rivaroxaban Tab,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Rivaroxaban 100mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Rivaroxaban SR,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban Oral,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban Cap,Medium,Return to pharmacy,No,Harmful to aquatic life.
Rivaroxaban Cap,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Rivaroxaban SR,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Rivaroxaban 250mg,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Rivaroxaban Capsule,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Warfarin Cap,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Warfarin 250mg,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Warfarin 100mg,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Warfarin Oral,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Warfarin Cap,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Warfarin Tab,High,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Warfarin Tablet,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Warfarin Cap,High,Safe landfill,Yes,Harmful to aquatic life.
Warfarin 100mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Warfarin SR,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Warfarin Tablet,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Warfarin Tab,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Warfarin SR,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
